#t	m1	m2	m3
697	0.9252	-0.0814	0.4342
698	0.9202	-0.0794	0.4324
699	0.9156	-0.0804	0.4282
700	0.9084	-0.0784	0.4316
701	0.9046	-0.0838	0.4294
702	0.9112	-0.0822	0.4254
703	0.9098	-0.0884	0.43
704	0.9058	-0.085	0.43
705	0.9054	-0.091	0.4336
706	0.898	-0.0906	0.4338
707	0.9034	-0.076	0.4366
708	0.9018	-0.0826	0.427
709	0.9132	-0.0672	0.4294
710	0.9044	-0.0732	0.4328
711	0.9078	-0.0652	0.442
712	0.9068	-0.0702	0.4504
713	0.903	-0.0782	0.4484
714	0.9116	-0.079	0.4488
715	0.9152	-0.0842	0.4462
716	0.9142	-0.0902	0.4444
717	0.9196	-0.0896	0.4296
718	0.9118	-0.0892	0.4384
719	0.913	-0.1092	0.44
720	0.9126	-0.1032	0.4454
721	0.9192	-0.108	0.4598
722	0.9174	-0.1116	0.4682
723	0.917	-0.1082	0.4594
724	0.9108	-0.104	0.462
725	0.9058	-0.097	0.4602
726	0.9032	-0.1018	0.456
727	0.9032	-0.1028	0.4634
728	0.9034	-0.0986	0.461
729	0.9096	-0.1036	0.4528
730	0.8996	-0.1048	0.454
731	0.9094	-0.1052	0.4578
732	0.9118	-0.1124	0.467
733	0.9174	-0.112	0.472
734	0.9218	-0.107	0.463
735	0.9246	-0.118	0.4732
736	0.918	-0.1222	0.4744
737	0.9304	-0.1204	0.4848
738	0.9348	-0.127	0.4792
739	0.9292	-0.1338	0.4794
740	0.9246	-0.1264	0.4738
741	0.9294	-0.139	0.4788
742	0.9268	-0.131	0.4718
743	0.938	-0.1352	0.4688
744	0.9298	-0.1414	0.4722
745	0.9316	-0.1514	0.4692
746	0.9344	-0.1576	0.4446
747	0.9368	-0.1552	0.4358
748	0.9302	-0.1466	0.4422
749	0.9252	-0.152	0.435
750	0.9198	-0.1546	0.4428
751	0.9214	-0.1604	0.4484
752	0.9208	-0.1554	0.4564
753	0.9206	-0.155	0.453
754	0.9152	-0.1524	0.4432
755	0.9252	-0.1566	0.446
756	0.925	-0.1494	0.4368
757	0.924	-0.1622	0.444
758	0.9234	-0.1618	0.4422
759	0.9188	-0.1708	0.4378
760	0.9198	-0.176	0.4352
761	0.9172	-0.1842	0.4348
